time,open,high,low,close,volume
2021-03-24 08:30:00,130.98,130.98,130.98,130.98,355
2021-03-24 08:15:00,130.75,130.9,130.75,130.9,399
2021-03-24 08:00:00,131.12,131.12,131.12,131.12,837
2021-03-24 07:30:00,130.76,130.76,130.76,130.76,200
2021-03-24 05:15:00,130.41,130.41,130.41,130.41,109
2021-03-23 19:45:00,130.4,130.4,130.4,130.4,134
2021-03-23 18:15:00,130.41,130.41,130.41,130.41,250
2021-03-23 18:00:00,130.7499,130.7499,130.7499,130.7499,201
2021-03-23 17:30:00,130.8,130.8,130.8,130.8,300
2021-03-23 17:15:00,130.84,130.85,130.84,130.85,400
2021-03-23 17:00:00,130.5,130.5,130.4,130.4,1239
2021-03-23 16:30:00,130.46,130.46,130.46,130.46,300
2021-03-23 16:15:00,130.46,130.66,130.33,130.46,134674
2021-03-23 16:00:00,130.31,130.68,130.21,130.46,444620
2021-03-23 15:45:00,130.23,130.3294,130.07,130.3294,226130
2021-03-23 15:30:00,130.69,130.77,130.25,130.25,166760
2021-03-23 15:15:00,130.9,131.0,130.66,130.7,160054
2021-03-23 15:00:00,130.91,131.06,130.86,130.8897,147249
2021-03-23 14:45:00,130.83,131.01,130.82,130.95,144900
2021-03-23 14:30:00,130.7,130.82,130.59,130.8,67551
2021-03-23 14:15:00,130.67,130.79,130.5634,130.701,69632
2021-03-23 14:00:00,130.72,130.84,130.64,130.69,95788
2021-03-23 13:45:00,131.22,131.225,130.73,130.73,71889
2021-03-23 13:30:00,131.3829,131.3829,131.21,131.23,43181
2021-03-23 13:15:00,131.37,131.56,131.27,131.37,89562
2021-03-23 13:00:00,131.15,131.37,131.13,131.34,71462
